Date,TestName,Result,Mean,SD,ReferenceLow,ReferenceHigh,WestgardRuleViolated,Pass,Comments
2024-05-21,Glucose,111.0,100.0,5.0,70.0,110.0,1-2s,Warning,Exceeds +2SD but <3SD
2024-05-21,Sodium,151.0,140.0,3.0,135.0,145.0,1-3s,Fail,Exceeds +3SD
2024-05-21,Potassium,5.7,4.5,0.5,3.5,5.1,2-2s,Fail,Second consecutive 1-2s above mean
2024-05-21,Chloride,96.0,102.0,2.0,98.0,107.0,1-3s,Fail,Exceeds -3SD
2024-05-21,Calcium,8.7,9.5,0.4,8.4,10.2,None,Pass,Within 2SD
2024-05-21,Total Protein,7.2,7.0,0.3,6.0,8.0,None,Pass,Within 2SD
2024-05-21,Albumin,4.8,4.3,0.2,3.5,5.0,2-2s,Fail,Second consecutive 1-2s above mean
2024-05-21,BUN,14.0,16.0,3.0,7.0,25.0,None,Pass,Within 2SD
2024-05-21,Creatinine,1.1,1.0,0.15,0.6,1.3,None,Pass,Within 2SD
2024-05-21,CO2,22.0,25.0,1.0,21.0,30.0,1-3s,Fail,Exceeds -3SD
